sep=\t
Module Resource Usage Distribution Estimates
Generated at: May 01, 2024 13:07:59

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
edb_top:edb_top                                             	    9179(0)	     687(0)	    9236(0)	   179(0)	     0(0)	
 +la0:edb_la_top_renamed_due_excessive_length_1             	 4399(2716)	     96(41)	 3702(1570)	   135(0)	     0(0)	
  +axi_crc_i:edb_adbg_crc32                                 	     32(32)	       0(0)	     56(56)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[1].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b011,PIPE=1)	       9(9)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[1].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011,PIPE=1)	       9(9)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[2].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[2].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[3].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b0100000,PIPE=1)	     67(67)	       0(0)	     90(90)	     0(0)	     0(0)	
  +GEN_PROBE[3].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100000,PIPE=1)	     67(67)	       0(0)	     95(95)	     0(0)	     0(0)	
  +GEN_PROBE[4].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
